Siruta,X_c1,X_c2
31208,-0.23737258979547432,-0.0004962369691656867
31262,-0.0988547880914826,-0.0004966379224392642
31333,-0.11829874964002288,-0.000496581639998024
31379,-0.23880229285051405,-0.0004962328307508985
31422,-0.18169586796635584,-0.0004963981308619166
31510,-0.15326520150042303,-0.0004964804261961485
31565,-0.1727500117076787,-0.000496424025514508
31609,-0.20085388890388814,-0.0004963426761036392
31654,-0.09897733406762885,-0.0004966375677179975
31716,0.0038387399190851503,-0.0004969351788620879
31789,0.0563701150271162,-0.0004970872360457452
31841,-0.17344443890584085,-0.0004964220154273136
31878,-0.15236653100868375,-0.0004964830274854519
31921,-0.20101728353874984,-0.0004963422031419525
31976,-0.1197284526950626,-0.0004965775015832232
32027,0.1664980989238905,-0.0004974060122254976
32045,-0.2307142584248607,-0.0004962562423546134
32090,-0.19946503450756387,-0.000496346696278012
32153,-0.2006904942690265,-0.000496343149065342
32161,-0.17111606535906185,-0.0004964287551314074
32179,-0.1924390652085115,-0.000496367033630732
32187,-0.16151663056093798,-0.0004964565416307549
32195,-0.20930956125798025,-0.0004963182003361379
32201,-0.19938333719013301,-0.0004963469327588657
32394,3.530875328043373,-0.0005071445299242632
32483,0.21886607939705988,-0.0004975575964474741
32544,0.19721629027788687,-0.0004974949290234184
32599,0.1921919052558901,-0.000497480385451405
32633,-0.10310304859788634,-0.0004966256254352989
32660,-0.15592036431692535,-0.0004964727405686672
32704,-0.15195804442152955,-0.0004964842098896778
32768,-0.2048979061167148,-0.0004963309703017852
32811,-0.10869931484189899,-0.0004966094264973832
32884,-0.16674525887651184,-0.000496441406856644
32955,-0.2208288830157289,-0.0004962848565368982
33015,-0.16490706923431792,-0.0004964467276756616
33122,-0.19419555753327458,-0.0004963619492925405
33177,-0.20191595403048912,-0.0004963396018526421
33202,-0.06225438988246561,-0.0004967438658580635
33248,0.04031659215195583,-0.0004970407675595909
33275,-0.1819001112599329,-0.0004963975396598123
33337,-0.18206350589479461,-0.0004963970666981186
33364,-0.1420726690123977,-0.0004965128240719951
33382,-0.06572652587327636,-0.0004967338154221246
33435,-0.0295346142514136,-0.0004968385764366886
33514,-0.16462112862331,-0.0004964475553586127
33541,-0.07663311775029372,-0.0004967022452292436
33603,-0.1486901517242959,-0.0004964936691234893
33621,0.046280496324407276,-0.0004970580306613214
