Code,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another,City
101902,98.84807650510758,0.0,0.9997826559443599,0.0,0.0,0.0869376222560313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06520321669202347,Ciolpani
101957,94.20777908738845,0.0,5.724869506650951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06735140596059942,Ciorogarla
101984,82.94981979484336,0.0,17.05018020515664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clejani
102035,98.80379058567655,0.0,1.056392729532391,0.0,0.0,0.046605561597017245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09321112319403449,Clinceni
102071,95.78700994733762,0.0,4.212990052662375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colibasi
102106,91.81765890135173,0.0,8.18234109864826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Comana
102160,97.5864216754905,0.3737153534724385,1.1522890065400186,0.0,0.14014325755216445,0.06228589224540641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06228589224540641,0.17128620367486763,0.0,0.0,0.0,0.0,0.0,0.0,0.4515727187791965,Corbeanca
102213,93.91275501741582,0.0,5.9213799966827,0.0,0.0,0.09951899154088571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06634599436059048,Cornetu
102240,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cosereni
102286,99.00385177314385,0.10625581086465666,0.650816841546022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05312790543232833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18594766901314916,Crevedia
102348,92.78289860757012,0.0,7.217101392429888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crevedia Mare
102419,63.65621278285034,0.0,36.34378721714966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Curcani
102446,99.2638940007361,0.0,0.736105999263894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daia
102473,98.82275997383911,0.0,1.0464355788096795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13080444735120994,Dascalu
102525,99.42216179469749,0.0,0.5778382053025153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Darasti-Ilfov
102543,93.34257975034674,0.0,6.51872399445215,0.04160887656033287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04160887656033287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05547850208044383,1 Decembrie
